Linux 6.8.0-137-generic (dellr470) 	09/03/2026 	_x86_64_	(128 CPU)

05:01:23 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:01:33 PM   85   23.49    0.00    3.93    0.00    0.00    0.10    0.00    0.00    0.00   72.48
05:01:33 PM   86   29.48    0.00    4.12    0.00    0.00    0.20    0.00    0.00    0.00   66.20
05:01:33 PM   87   21.49    0.00    3.13    0.00    0.00    0.20    0.00    0.00    0.00   75.18
05:01:33 PM   88   32.03    0.00    3.31    0.00    0.00    0.00    0.00    0.00    0.00   64.66
05:01:33 PM   89   29.60    0.00    3.74    0.00    0.00    0.10    0.00    0.00    0.00   66.57
05:01:33 PM   90   20.71    0.00    2.73    0.00    0.00    0.20    0.00    0.00    0.00   76.36
05:01:33 PM   91   15.98    0.00    2.53    0.00    0.00    0.10    0.00    0.00    0.00   81.40
05:01:33 PM   92   28.47    0.00    5.03    0.00    0.00    0.20    0.00    0.00    0.00   66.30
05:01:33 PM   93   43.59    0.00    4.44    0.00    0.00    0.10    0.00    0.00    0.00   51.87
05:01:33 PM   94   18.11    0.00    2.31    0.00    0.00    0.10    0.00    0.00    0.00   79.48
05:01:33 PM   95   17.11    0.00    2.73    0.00    0.00    0.20    0.00    0.00    0.00   79.96
05:01:33 PM   96   26.57    0.00    3.43    0.00    0.00    0.10    0.00    0.00    0.00   69.90
05:01:33 PM   97    0.91    0.00    0.70    0.00    0.00    0.20    0.00    0.00    0.00   98.19
05:01:33 PM   98   31.21    0.00    4.24    0.10    0.00    0.51    0.00    0.00    0.00   63.94
05:01:33 PM   99    1.10    0.00    0.60    0.10    0.00    0.20    0.00    0.00    0.00   98.00
05:01:33 PM  100   20.14    0.00    3.85    0.00    0.00    0.51    0.00    0.00    0.00   75.51
05:01:33 PM  101    1.00    0.00    0.50    0.00    0.00    0.20    0.00    0.00    0.00   98.30
05:01:33 PM  102   17.11    0.00    2.94    0.10    0.00    0.40    0.00    0.00    0.00   79.45
05:01:33 PM  103    0.80    0.00    0.20    0.10    0.00    0.10    0.00    0.00    0.00   98.80
05:01:33 PM  104   52.36    0.00    4.31    0.00    0.00    0.20    0.00    0.00    0.00   43.13
05:01:33 PM  105    1.31    0.00    1.01    0.10    0.00    0.30    0.00    0.00    0.00   97.28
05:01:33 PM  106   28.63    0.00    2.94    0.00    0.00    0.30    0.00    0.00    0.00   68.12
05:01:33 PM  107    1.41    0.00    0.70    0.10    0.00    0.30    0.00    0.00    0.00   97.48
05:01:33 PM  108   40.34    0.00    4.45    0.00    0.00    0.30    0.00    0.00    0.00   54.90
05:01:33 PM  109    1.50    0.00    0.80    0.20    0.00    0.30    0.00    0.00    0.00   97.19
05:01:33 PM  110   18.48    0.00    3.76    0.00    0.00    0.81    0.00    0.00    0.00   76.95
05:01:33 PM  111   47.39    0.00    0.70    0.00    0.00    0.10    0.00    0.00    0.00   51.81
05:01:33 PM  112   35.53    0.00    3.64    0.00    0.00    0.30    0.00    0.00    0.00   60.53
05:01:33 PM  113    1.71    0.00    0.70    0.10    0.00    0.20    0.00    0.00    0.00   97.29
05:01:33 PM  114   32.56    0.00    4.64    0.10    0.00    0.20    0.00    0.00    0.00   62.50
05:01:33 PM  115    2.01    0.00    0.70    0.20    0.00    0.30    0.00    0.00    0.00   96.79
05:01:33 PM  116   25.88    0.00    3.94    0.00    0.00    0.40    0.00    0.00    0.00   69.77
05:01:33 PM  117    1.61    0.00    0.80    0.10    0.00    0.10    0.00    0.00    0.00   97.39
05:01:33 PM  118   19.66    0.00    2.62    0.10    0.00    0.20    0.00    0.00    0.00   77.42
05:01:33 PM  119    3.14    0.00    1.52    0.10    0.00    0.61    0.00    0.00    0.00   94.62
05:01:33 PM  120   37.70    0.00    4.84    0.00    0.00    0.20    0.00    0.00    0.00   57.26
05:01:33 PM  121   41.98    0.00    0.60    0.00    0.00    0.00    0.00    0.00    0.00   57.41
05:01:33 PM  122   27.04    0.00    3.32    0.00    0.00    0.30    0.00    0.00    0.00   69.35
05:01:33 PM  123    1.40    0.00    0.60    0.10    0.00    0.30    0.00    0.00    0.00   97.60
05:01:33 PM  124    0.70    0.00    0.60    0.00    0.00    0.30    0.00    0.00    0.00   98.39
05:01:33 PM  125   21.44    0.00    2.22    0.00    0.00    0.30    0.00    0.00    0.00   76.04
05:01:33 PM  126   33.87    0.00    4.45    0.10    0.00    0.30    0.00    0.00    0.00   61.27
05:01:33 PM  127    4.80    0.00    2.96    0.10    0.00    1.12    0.00    0.00    0.00   91.02

05:01:33 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:01:43 PM  all   31.55    0.00    2.56    0.01    0.00    0.22    0.00    0.00    0.00   65.66
05:01:43 PM    0   32.86    0.00    4.27    0.00    0.00    1.75    0.00    0.00    0.00   61.12
05:01:43 PM    1   29.76    0.00    3.47    0.11    0.00    1.05    0.00    0.00    0.00   65.62
05:01:43 PM    2   42.30    0.00    3.59    0.00    0.00    0.51    0.00    0.00    0.00   53.59
05:01:43 PM    3   37.24    0.00    3.47    0.10    0.00    0.41    0.00    0.00    0.00   58.78
05:01:43 PM    4   18.83    0.00    2.46    0.00    0.00    0.41    0.00    0.00    0.00   78.30
05:01:43 PM    5   16.77    0.00    3.35    0.00    0.00    0.20    0.00    0.00    0.00   79.67
05:01:43 PM    6   31.24    0.00    4.15    0.00    0.00    0.30    0.00    0.00    0.00   64.31
05:01:43 PM    7   25.91    0.00    2.63    0.00    0.00    0.30    0.00    0.00    0.00   71.15
05:01:43 PM    8   25.78    0.00    3.13    0.00    0.00    0.30    0.00    0.00    0.00   70.78
05:01:43 PM    9   13.52    0.00    2.02    0.00    0.00    0.20    0.00    0.00    0.00   84.26
05:01:43 PM   10   33.50    0.00    3.42    0.00    0.00    0.10    0.00    0.00    0.00   62.98
05:01:43 PM   11   27.07    0.00    2.42    0.00    0.00    0.30    0.00    0.00    0.00   70.20
05:01:43 PM   12   19.62    0.00    3.54    0.00    0.00    0.30    0.00    0.00    0.00   76.54
05:01:43 PM   13   22.08    0.00    2.92    0.00    0.00    0.20    0.00    0.00    0.00   74.80
05:01:43 PM   14   39.64    0.00    4.93    0.00    0.00    0.20    0.00    0.00    0.00   55.23
05:01:43 PM   15   28.70    0.00    4.33    0.00    0.00    0.20    0.00    0.00    0.00   66.77
05:01:43 PM   16   26.67    0.00    2.63    0.00    0.00    0.30    0.00    0.00    0.00   70.40
05:01:43 PM   17   29.44    0.00    3.63    0.00    0.00    0.10    0.00    0.00    0.00   66.83
05:01:43 PM   18   29.15    0.00    2.41    0.00    0.00    0.20    0.00    0.00    0.00   68.24
05:01:43 PM   19   27.68    0.00    2.91    0.00    0.00    0.20    0.00    0.00    0.00   69.21
05:01:43 PM   20   22.20    0.00    3.13    0.00    0.00    0.10    0.00    0.00    0.00   74.57
05:01:43 PM   21   27.35    0.00    2.91    0.10    0.00    0.10    0.00    0.00    0.00   69.54
05:01:43 PM   22   29.88    0.00    2.62    0.00    0.00    0.10    0.00    0.00    0.00   67.40
05:01:43 PM   23   27.70    0.00    3.44    0.00    0.00    0.20    0.00    0.00    0.00   68.66
05:01:43 PM   24   17.47    0.00    3.23    0.00    0.00    0.20    0.00    0.00    0.00   79.09
05:01:43 PM   25   18.48    0.00    3.84    0.00    0.00    0.10    0.00    0.00    0.00   77.58
05:01:43 PM   26   24.04    0.00    2.93    0.10    0.00    0.20    0.00    0.00    0.00   72.73
